dataset,architecture,strategy,experiment_category,id,repo_hash,loss,final_accuracy,batch_size,classifier_loss_weight,dataset_name,deep_generative_type,device,embedding_module,fixed_class_order,input_shape,is_image_data,latent_dims,learning_rate,n_experiences,name,network_architecture,prune_proportion,recon_loss_type,reconstruction_loss_weight,retrain_epochs,total_task_epochs,use_classifier_loss,use_packnet,use_reconstruction_loss,use_vae_loss,vae_loss_weight,task_inference_strategy,vanilla_cnn_config,lwf_alpha,replay_buffer,si_lambda,use_experience_replay,use_generative_replay_strategy,use_learning_without_forgetting,use_synaptic_intelligence,rectangular_mlp_config,use_generative_replay
splitEmbeddedCORe50,VAE,finetuning,N,0114,dd88ddf,,0.057791516184806824,64.0,1.0,CORe50_NC,VAE,cuda,ResNet50,True,2048,False,512.0,0.0001,10.0,splitEmbeddedCORe50_VAE_finetuning,rectangular,0.5,mse,1.0,3.0,10.0,True,False,True,True,0.001,,,,,,,,,,,
splitEmbeddedCIFAR100,VAE,taskOracle,EP,0011,4f911459,,0.07090000063180923,64.0,1.0,CIFAR100,VAE,cuda,ResNet50,True,2048,False,512.0,0.0001,10.0,ml-22_4f911459_EP_splitEmbeddedCIFAR100_VAE_taskOracle,rectangular,"[0.9090909090909091, 0.8181818181818181, 0.7272727272727272, 0.6363636363636362, 0.5454545454545453, 0.45454545454545436, 0.3636363636363634, 0.2727272727272725, 0.18181818181818155, 0.0909090909090906]",mse,1.0,30.0,100.0,True,True,True,True,1.0,task_oracle,,,,,,,,,,
splitCORe50,VAE,taskInference,EP,0038,6d14d70a,,0.04471671208739281,64.0,1.0,CORe50_NC,VAE,cuda,None,True,"[3, 128, 128]",True,526.0,0.0001,10.0,ml-23_6d14d70a_EP_splitCORe50_VAE_taskInference,residual,"[0.9090909090909091, 0.8181818181818181, 0.7272727272727272, 0.6363636363636362, 0.5454545454545453, 0.45454545454545436, 0.3636363636363634, 0.2727272727272725, 0.18181818181818155, 0.0909090909090906]",bce,1.0,1.0,5.0,True,True,True,True,0.001,task_reconstruction_loss,,32.0,1000.0,1000.0,False,False,False,False,,
splitFMNIST,AE,taskOracle,EP,0001,b7711e62,,0.9927999973297119,64.0,1.0,FMNIST,AE,cuda,None,True,"[1, 32, 32]",True,64.0,0.0001,5.0,ml-22_b7711e62_EP_splitFMNIST_AE_taskOracle,vanilla_cnn,"[0.8333333333333334, 0.6666666666666667, 0.5000000000000001, 0.3333333333333335, 0.16666666666666685, 2.220446049250313e-16]",bce,1.0,5.0,20.0,True,True,True,False,,task_oracle,,,,,,,,,,
splitCORe50,AE,taskInference,PL,0165,55dff8e1,,0.05859201401472092,64.0,1.0,CORe50_NC,AE,cuda,None,True,"[3, 128, 128]",True,526.0,0.0001,10.0,55dff8e1_PL_splitCORe50_AE_taskInference,residual,0.4,bce,1.0,1.0,5.0,True,True,True,False,,task_reconstruction_loss,,,,,,,,,,
splitCIFAR100,AE,taskInference,PL,0159,55dff8e1,,0.17069999873638153,64.0,1.0,CIFAR100,AE,cuda,None,True,"[3, 32, 32]",True,64.0,0.0001,10.0,55dff8e1_PL_splitCIFAR100_AE_taskInference,residual,0.2,bce,1.0,20.0,100.0,True,True,True,False,,task_reconstruction_loss,,,,,,,,,,
splitEmbeddedCORe50,AE,taskInference,PL,0007,7ee898bd,,0.3509961664676666,64.0,1.0,CORe50_NC,AE,cuda,ResNet50,True,2048,False,512.0,0.0001,10.0,ml-23_7ee898bd_PL_splitEmbeddedCORe50_AE_taskInference,rectangular,0.4,mse,1.0,3.0,10.0,True,True,True,False,,task_reconstruction_loss,,,,,,,,,,
splitFMNIST,VAE,genReplay,OS,0206,6d14d70a,,0.1996999979019165,64.0,1.0,FMNIST,VAE,cuda,None,True,"[1, 32, 32]",True,64.0,0.0001,5.0,ml-22_05b6f96cD_OS_splitFMNIST_VAE_genReplay,vanilla_cnn,0.5,bce,1.0,5.0,20.0,True,False,True,True,0.001,,,32.0,1000.0,1000.0,False,False,False,False,,True
splitCIFAR100,VAE,cumulative,N,0020,dd88ddf,0.25842806696891785,0.6105999946594238,64.0,1.0,CIFAR100,VAE,cuda,,True,"[3, 32, 32]",True,64.0,0.0001,1.0,splitCIFAR100_VAE_cumulative,residual_network,,,1.0,20.0,100.0,True,False,True,True,0.001,,{'base_channels': 128},,,,,,,,,
splitEmbeddedCIFAR100,AE,taskInference,N,0102,dd88ddf,4.853724479675293,0.5084285736083984,64.0,1.0,CIFAR100,AE,cuda,ResNet18,True,2048,False,64.0,0.0001,10.0,splitEmbeddedCIFAR100_AE_taskInference,rectangular,0.5,mse,1.0,30.0,100.0,True,True,True,False,,task_reconstruction_loss,,,,,,,,,,
splitEmbeddedCIFAR100,VAE,cumulative,N,0050,dd88ddf,0.7941743731498718,0.30799999833106995,64.0,1.0,CIFAR100,VAE,cuda,ResNet18,True,512,False,64.0,0.0001,1.0,splitEmbeddedCIFAR100_VAE_cumulative,rectangular_network,,mse,1.0,5.0,20.0,True,False,True,True,0.001,,,,,,,,,,,
splitEmbeddedCORe50,VAE,taskInference,N,0122,dd88ddf,,0.37561148405075073,64.0,1.0,CORe50_NC,VAE,cuda,ResNet50,True,2048,False,512.0,0.0001,10.0,splitEmbeddedCORe50_VAE_taskInference,rectangular,0.5,mse,1.0,3.0,10.0,True,True,True,True,0.001,task_reconstruction_loss,,,,,,,,,,
splitEmbeddedCIFAR100,AE,taskInference,N,0095,dd88ddf,2.274977207183838,0.3465999960899353,64.0,1.0,CIFAR100,AE,cuda,ResNet18,True,2048,False,64.0,0.0001,10.0,splitEmbeddedCIFAR100_AE_taskInference,rectangular,0.5,mse,1.0,25.0,100.0,True,True,True,False,0.001,task_reconstruction_loss,,,,,,,,,,
splitCIFAR10,AE,taskOracle,EP,0002,b7711e62,,0.9276999831199646,64.0,1.0,CIFAR10,AE,cuda,None,True,"[3, 32, 32]",True,64.0,0.0001,5.0,ml-22_b7711e62_EP_splitCIFAR10_AE_taskOracle,residual,"[0.8333333333333334, 0.6666666666666667, 0.5000000000000001, 0.3333333333333335, 0.16666666666666685, 2.220446049250313e-16]",bce,1.0,10.0,50.0,True,True,True,False,,task_oracle,,,,,,,,,,
splitCORe50,AE,SI,OS,0219,6d14d70a,,0.05876990035176277,64.0,1.0,CORe50_NC,AE,cuda,None,True,"[3, 128, 128]",True,526.0,0.0001,10.0,ml-22_6d14d70a_OS_splitCORe50_AE_SI,residual,0.5,bce,1.0,1.0,5.0,True,False,True,False,,,,32.0,1000.0,1000.0,False,False,False,True,,
splitEmbeddedCIFAR100,AE,taskInference,N,0071,dd88ddf,0.835625410079956,0.1615000069141388,64.0,1.0,CIFAR100,AE,cuda,ResNet18,True,512,False,64.0,0.0001,10.0,splitEmbeddedCIFAR100_AE_taskInference,rectangular_network,0.9,mse,1.0,2.0,10.0,True,True,True,False,,task_reconstruction_loss,,,,,,,,,,
splitEmbeddedCORe50,AE,taskInference,EP,0034,6d14d70a,,0.5841857194900513,64.0,1.0,CORe50_NC,AE,cuda,ResNet50,True,2048,False,512.0,0.0001,10.0,ml-23_6d14d70a_EP_splitEmbeddedCORe50_AE_taskInference,rectangular,"[0.9090909090909091, 0.8181818181818181, 0.7272727272727272, 0.6363636363636362, 0.5454545454545453, 0.45454545454545436, 0.3636363636363634, 0.2727272727272725, 0.18181818181818155, 0.0909090909090906]",mse,1.0,3.0,10.0,True,True,True,False,,task_reconstruction_loss,,32.0,1000.0,1000.0,False,False,False,False,,
splitFMNIST,AE,taskOracle,EP,0134,dd88ddf,,0.9930999875068665,64.0,1.0,FMNIST,AE,cuda,None,True,"[1, 32, 32]",True,64.0,0.0001,5.0,EP_splitFMNIST_AE_taskOracle,vanilla_cnn,"[0.8333333333333334, 0.6666666666666667, 0.5000000000000001, 0.3333333333333335, 0.16666666666666685, 2.220446049250313e-16]",bce,1.0,5.0,20.0,True,True,True,False,,task_oracle,,,,,,,,,,
splitCIFAR10,AE,replay,OS,0209,6d14d70a,,0.6306999921798706,64.0,1.0,CIFAR10,AE,cuda,None,True,"[3, 32, 32]",True,64.0,0.0001,5.0,ml-22_6d14d70a_OS_splitCIFAR10_AE_replay,residual,0.5,bce,1.0,10.0,50.0,True,False,True,False,,,,32.0,1000.0,1000.0,True,False,False,False,,
